number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_weight_class_0,params_weight_class_1,params_weight_class_2,state
0,-0.41897895166763366,2025-12-03 23:24:46.866843,2025-12-03 23:25:10.829371,0 days 00:00:23.962528,0.846693587206578,2.8060331605093336,0.4265029199298543,7,5,546,5.027719612298714,1.729280307498301,0.6408940274090179,4.220855969571466,0.5149891091116019,1.8175690167055312,COMPLETE
1,-0.21504605360169268,2025-12-03 23:24:46.873800,2025-12-03 23:24:55.252723,0 days 00:00:08.378923,0.7126071249097532,4.228950081083367,0.23339317214582442,10,5,323,8.767215151468376,5.761434277748495,0.7596780187110059,3.9153757173078025,0.43348634510004624,1.9736399028543548,COMPLETE
2,-0.15359296892361268,2025-12-03 23:24:46.906079,2025-12-03 23:24:59.123621,0 days 00:00:12.217542,0.8250894451094737,0.48794564292301723,0.015512910923825408,7,5,401,8.862306396224861,2.457554372088598,0.60565783072561,3.6389289126534594,0.40430786361054816,1.6293789194767068,COMPLETE
3,-0.36745113127889933,2025-12-03 23:24:46.936487,2025-12-03 23:24:54.502330,0 days 00:00:07.565843,0.7265066093738135,1.7778518057342518,0.40866414776082816,7,1,111,7.9491457361181,1.3312559105109456,0.7021824842679507,3.721594251739247,0.37289788403536794,1.3150836963110875,COMPLETE
4,-0.29893723384646537,2025-12-03 23:24:46.981337,2025-12-03 23:24:54.913337,0 days 00:00:07.932000,0.9341906205950405,2.3931068210391504,0.4028551998660379,8,7,283,1.4454145882690006,7.612311943177023,0.9159102207086107,3.8898499154092754,0.48235310160330014,2.8379058116675173,COMPLETE
5,-0.1466744137898793,2025-12-03 23:24:46.988109,2025-12-03 23:24:53.852351,0 days 00:00:06.864242,0.6845482989034221,0.5454018583109599,0.0522483840562135,3,9,270,6.5979345629677235,0.7293141097672273,0.8601143380941153,2.6720424947399497,0.36674659457556297,2.3510356508913928,COMPLETE
6,-0.10295395308427453,2025-12-03 23:24:46.994887,2025-12-03 23:25:04.149184,0 days 00:00:17.154297,0.6482715777624795,1.3391809231379692,0.027194020385347337,10,2,385,4.443509644368043,9.778828303960692,0.8766544188625311,3.370871006094042,0.31157293253611396,1.3634322532777319,COMPLETE
7,-0.39274647413391306,2025-12-03 23:24:47.036946,2025-12-03 23:25:05.356813,0 days 00:00:18.319867,0.5771957807254313,4.266975816744422,0.1577565923161648,8,6,439,5.4569786451810565,1.2388905712169906,0.8128140050889089,3.740119008083618,0.608467990925869,2.3169229728488006,COMPLETE
8,-0.10295395308427453,2025-12-03 23:24:47.063555,2025-12-03 23:25:02.279161,0 days 00:00:15.215606,0.7029236211509705,4.108834480261223,0.035463890630204505,10,1,537,2.426336328593667,0.7176494436626957,0.6486919612451034,3.9751347853475174,0.37053823413559994,1.8534932826663892,COMPLETE
9,-0.4568703315737765,2025-12-03 23:24:47.074999,2025-12-03 23:25:22.392646,0 days 00:00:35.317647,0.6793687386291312,3.3250625338803452,0.024799218956241275,10,10,436,6.725014355842035,6.6848534456406625,0.935828202903958,2.5633748625943875,0.5904239770301659,1.5221873329285305,COMPLETE
10,-0.10295395308427453,2025-12-03 23:24:47.124761,2025-12-03 23:24:52.818824,0 days 00:00:05.694063,0.8094992584928375,1.3512831409598776,0.07307860291643475,6,6,76,4.860633441338594,4.830597852604833,0.8528881763675309,4.057262412272705,0.4144966235446069,1.4677133248722622,COMPLETE
11,-0.24206516333655845,2025-12-03 23:24:47.145010,2025-12-03 23:24:58.035053,0 days 00:00:10.890043,0.9492850775241419,0.4274134481691244,0.018677327759840042,6,6,527,1.9357264127410334,4.610963934627803,0.829554622752487,2.296924610690566,0.46118650104043335,2.910559409284553,COMPLETE
12,-0.4216075794408784,2025-12-03 23:24:47.171230,2025-12-03 23:24:55.196196,0 days 00:00:08.024966,0.6698835325560464,4.073235613096696,0.24953658043871763,9,1,188,8.519984119117176,2.725603084458746,0.9469955637126963,2.1973127675137825,0.44719929444370976,1.3967481865212512,COMPLETE
