number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_weight_class_0,params_weight_class_1,params_weight_class_2,state
0,-0.5500260175147468,2025-12-04 13:32:30.690259,2025-12-04 13:32:40.224189,0 days 00:00:09.533930,0.7818333682880101,0.6998968809217696,0.04141763487952216,3,8,8,108,2.754863756816141,1.7945579305460262,1.7689065133634407,0.8726348840496061,2.856401777866896,0.6908189409119733,2.3724973915302767,COMPLETE
1,-0.5167430600748235,2025-12-04 13:32:30.692153,2025-12-04 13:33:12.518083,0 days 00:00:41.825930,0.6212990808352632,1.4018238965714953,0.012009420668586531,2,9,8,466,0.06561305156360997,3.1482427915167555,1.9467411257774334,0.7026067938713099,2.2378462182404637,0.9206891284622167,2.517525853404888,COMPLETE
2,-0.5352820387940044,2025-12-04 13:32:30.703151,2025-12-04 13:32:41.508734,0 days 00:00:10.805583,0.6067105331910947,0.6101755659377319,0.055526536281790655,9,8,7,134,1.219902509480784,3.493037333289779,1.4381597238911716,0.858051462063951,1.6550354858535579,0.5331254772955882,1.6094836723151578,COMPLETE
3,-0.5532503348247655,2025-12-04 13:32:30.705140,2025-12-04 13:32:47.934142,0 days 00:00:17.229002,0.8100083534244418,0.7923632042264843,0.034611492699408844,0,8,4,202,3.7517453240737337,2.3430282223993233,1.7182035611127073,0.7202462457791207,3.0286332855468525,0.8400978714624261,2.7830594679668543,COMPLETE
4,-0.5375030537661113,2025-12-04 13:32:30.706991,2025-12-04 13:32:43.292068,0 days 00:00:12.585077,0.8341374321606982,1.493471805313071,0.010125892043359465,3,8,7,145,4.3035971752780355,2.971813485673934,0.738220440743502,0.8958050801789411,2.7403224833377884,0.8850197202534191,1.7619962669982487,COMPLETE
5,-0.5348665303459373,2025-12-04 13:32:30.739801,2025-12-04 13:32:48.633958,0 days 00:00:17.894157,0.6349854437089026,1.8529789076087804,0.08671387830941148,1,4,10,448,3.608344844485319,4.682449802956256,1.4693736167940665,0.6168253735178827,2.3704345038338968,0.7513154722163509,2.8559324064903446,COMPLETE
6,-0.5840779727217258,2025-12-04 13:32:30.742181,2025-12-04 13:32:53.101989,0 days 00:00:22.359808,0.7692465479097156,0.8624206870673585,0.024001324837239258,10,7,7,333,3.9304159628935698,3.0966360639125035,0.5833087043942613,0.7346905963725054,3.4923664857279597,0.870601631210767,2.030358668407692,COMPLETE
7,-0.533490334294102,2025-12-04 13:32:30.743598,2025-12-04 13:32:47.027347,0 days 00:00:16.283749,0.737901860124722,1.6419821903154543,0.023139960112717732,7,7,6,243,1.398533043685863,3.1415960840885186,0.9797289271629737,0.7420489447952592,2.752848368548826,0.9305536272445756,2.5694672917843917,COMPLETE
8,-0.5752260537168673,2025-12-04 13:32:30.750507,2025-12-04 13:33:20.668437,0 days 00:00:49.917930,0.8988503933964718,0.8392020084471283,0.0340136470624996,3,10,3,425,4.774082003423279,0.12256219777749378,1.498155129744879,0.6511636995544119,2.9662755453150353,0.7488066966971669,1.4779160353350425,COMPLETE
9,-0.5560563377072357,2025-12-04 13:32:30.757149,2025-12-04 13:32:45.276098,0 days 00:00:14.518949,0.7004595835479981,0.24117090773219596,0.0982632256021912,6,9,4,138,4.2507405819200175,0.7449964455268887,1.5176235641303824,0.7006420346561791,2.2916354021632928,0.7928330710878858,1.6885071690390487,COMPLETE
10,-0.5644550428732966,2025-12-04 13:32:30.774797,2025-12-04 13:32:44.920242,0 days 00:00:14.145445,0.8474655833324009,1.9181823170083654,0.017215428009803996,0,7,1,209,2.3139324983672256,3.91907436830914,1.0455612642341339,0.8876963989692638,2.4026092543327624,0.6427740547696653,1.2510476909841493,COMPLETE
11,-0.5484980698682327,2025-12-04 13:32:30.781796,2025-12-04 13:33:00.926951,0 days 00:00:30.145155,0.6168252845394614,1.6527273455315985,0.010068059683656394,6,8,4,395,0.9884490712328842,4.832187207958163,1.5149900997328263,0.8729986554619613,3.1365586142241177,0.5105603295199173,2.3155369922717246,COMPLETE
12,-0.584612208900885,2025-12-04 13:32:30.828585,2025-12-04 13:32:51.801276,0 days 00:00:20.972691,0.7385990095800969,0.7214521045351112,0.047892104765336396,1,7,7,320,1.9304001697603812,0.9843016290570883,0.8522254224610744,0.6615961499025144,3.3622574353230457,0.7176444466840137,2.370351712120331,COMPLETE
13,-0.5595153240949939,2025-12-04 13:32:30.855479,2025-12-04 13:32:46.047566,0 days 00:00:15.192087,0.8010052303104744,0.7509995782239489,0.02463205298618366,2,3,9,428,4.1106705863561785,0.9625508828405727,1.1699835430043133,0.7384161702758534,3.3935507314759152,0.6026819527316835,2.0141047189332006,COMPLETE
14,-0.5774115683103612,2025-12-04 13:32:30.918682,2025-12-04 13:32:57.186975,0 days 00:00:26.268293,0.8922058045222742,0.6482516323585621,0.038740469875100686,9,7,5,401,1.4620377840754706,3.754182936805146,0.5736414188651795,0.7501617681126812,3.5979771911386216,0.5192724409821988,2.9124322047380997,COMPLETE
15,-0.5195777989198967,2025-12-04 13:32:30.926312,2025-12-04 13:32:35.531012,0 days 00:00:04.604700,0.8691479606786314,0.21612368377298607,0.0141626406466333,5,5,7,77,3.9384693968531854,2.056733362504887,1.0293841927717735,0.8407823450196938,3.4422587183380466,0.8822780598833038,2.4037373079206055,COMPLETE
16,-0.5318690856751759,2025-12-04 13:32:30.984318,2025-12-04 13:32:39.510858,0 days 00:00:08.526540,0.8144488522892418,0.9924475735004219,0.07345339663024876,1,3,10,233,3.5981577543450527,0.5271104880142424,0.6524787910608143,0.771304541212473,2.82714094617188,0.6915300163542698,0.9846146753692854,COMPLETE
