number,value,datetime_start,datetime_complete,duration,params_class_1_weight,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_threshold,state
0,-0.7165465439724781,2025-12-07 14:56:35.074717,2025-12-07 14:57:10.329013,0 days 00:00:35.254296,4.964829580646863,0.7524333531886296,1.5226648621595826,0.05756691744883145,6,8,4,313,0.5284701393424385,0.42975859201647204,0.579394460025324,0.647681463341986,0.3968562863339211,COMPLETE
1,-0.7147197766214564,2025-12-07 14:56:35.076885,2025-12-07 14:57:40.483074,0 days 00:01:05.406189,2.2917324222859103,0.6485948808072335,0.9907858820168913,0.01244893534929132,3,6,20,647,2.92089690694725,0.8910092121241175,0.46345845669435587,0.8286117142907806,0.245420850872193,COMPLETE
2,-0.7114404085724118,2025-12-07 14:56:35.089103,2025-12-07 14:57:10.438735,0 days 00:00:35.349632,1.7490980626105028,0.6605586279366045,0.15180983366071144,0.010365125194890927,7,4,10,403,1.1150586987087086,2.1461237590888893,0.7176231164917912,0.8334278476235979,0.2523291489834663,COMPLETE
3,-0.709445871693553,2025-12-07 14:56:35.090909,2025-12-07 14:56:43.792246,0 days 00:00:08.701337,2.900697401113348,0.6725678149670802,0.3096477661898145,0.03928063341036363,4,6,17,57,0.7981015542630582,1.6204710256846284,0.6934952202818225,0.8926221729367928,0.20660552242280827,COMPLETE
4,-0.7161162582422786,2025-12-07 14:56:35.093396,2025-12-07 14:57:18.965930,0 days 00:00:43.872534,2.714203140866706,0.7817396434679063,0.6845998582260204,0.030563980118542364,0,10,4,234,1.9447928361414064,1.7156363513633215,0.585263625522792,0.8343805545899408,0.5500814326833158,COMPLETE
5,-0.7106961144610396,2025-12-07 14:56:35.095819,2025-12-07 14:57:09.254625,0 days 00:00:34.158806,1.4071925384545056,0.6216144949490121,1.1992241760691869,0.015671657184414278,4,10,5,174,2.057779797343642,4.806368427868531,2.403731567900296,0.7308750872499296,0.30819296053664447,COMPLETE
6,-0.7106521046385539,2025-12-07 14:56:35.097829,2025-12-07 14:56:44.542300,0 days 00:00:09.444471,1.7872821254195643,0.7599252620965232,0.6332719195159835,0.014369159018168666,9,6,14,64,0.7585345202872656,4.955286992763901,2.003786788134674,0.8606504602866201,0.5189651514748426,COMPLETE
7,-0.7109744407562497,2025-12-07 14:56:35.100501,2025-12-07 14:57:30.700029,0 days 00:00:55.599528,1.2029801305705294,0.878399578013345,1.2267945575780193,0.01047658303632937,10,3,12,713,1.161713706309554,0.4803725036080808,1.8278135853299506,0.7564872157270954,0.2932256998419931,COMPLETE
8,-0.7035706984439855,2025-12-07 14:56:35.102262,2025-12-07 14:56:56.945821,0 days 00:00:21.843559,3.1933171063437102,0.78623186593322,1.7141479766385195,0.05809683901101843,7,3,11,260,4.277470311059692,0.7754392699492496,0.4647598624631802,0.7774578771009106,0.5680683753612841,COMPLETE
9,-0.7189729369051184,2025-12-07 14:56:35.105113,2025-12-07 14:57:00.599031,0 days 00:00:25.493918,2.6512485595421698,0.7931178701345653,1.9053118245727172,0.08154138729595255,3,8,4,231,0.3702351555758271,0.16042691556423794,0.8529668081302609,0.6142829040882531,0.4206197146124685,COMPLETE
