number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_weight_ratio_0,params_weight_ratio_1,state
0,-0.6025283179863278,2025-12-07 13:25:19.116912,2025-12-07 13:25:25.989524,0 days 00:00:06.872612,0.6684021204243464,0.5660384694420104,0.0701645070067231,1,9,1,564,1.386023968166289,0.24258587256031638,0.5205725887061285,0.8307476754572037,0.746115974127014,0.8950397467941514,COMPLETE
1,-0.6841590776603136,2025-12-07 13:25:19.129050,2025-12-07 13:25:26.447589,0 days 00:00:07.318539,0.8088870645992081,1.3050652459826895,0.06525170548925914,5,4,8,515,2.5213774705508865,2.5201326413204104,1.520040942809045,0.8456359362397207,1.2198737575222716,0.8901963746805055,COMPLETE
2,-0.6997435354487663,2025-12-07 13:25:19.155903,2025-12-07 13:25:45.395143,0 days 00:00:26.239240,0.6558141699135235,1.5971601933277864,0.05024429028777026,9,6,3,490,0.985610160292793,0.12278256684262967,1.7586427730140952,0.8119823148807108,0.9421711822697396,0.8644777701432228,COMPLETE
3,-0.6803828272686587,2025-12-07 13:25:19.172596,2025-12-07 13:25:25.247979,0 days 00:00:06.075383,0.7251759404876078,1.940008510677434,0.06417003327770163,3,6,2,553,1.459792041243642,0.6707612242309502,0.8194532233803666,0.6590341033082178,0.854449992167175,1.108085080540231,COMPLETE
4,-0.6892159917643513,2025-12-07 13:25:19.184107,2025-12-07 13:25:51.628074,0 days 00:00:32.443967,0.7130151951932002,0.17802577191798918,0.041652832490301474,10,5,3,697,1.8587155243790217,3.8461864615114854,1.742489800728727,0.7712378456513898,0.7855002645646431,0.8109437919702877,COMPLETE
5,-0.6959581648582214,2025-12-07 13:25:19.258723,2025-12-07 13:25:31.469122,0 days 00:00:12.210399,0.6945619996081835,0.5785009280233075,0.08172995065178677,6,4,4,580,4.5912407296343725,0.5937620234957225,1.3869619013607464,0.7877216653902668,1.0542650422548938,0.9485745687579537,COMPLETE
6,-0.663112241742707,2025-12-07 13:25:19.288869,2025-12-07 13:25:51.414864,0 days 00:00:32.125995,0.6731791007275958,1.3513432198206177,0.014784260710999945,3,10,7,335,2.7926807575881907,3.9527177795758157,1.6622092551919319,0.6816708035825659,0.7742510422551384,1.060881293950087,COMPLETE
7,-0.6016562926964292,2025-12-07 13:25:19.316973,2025-12-07 13:25:24.504318,0 days 00:00:05.187345,0.8207698221096822,1.543962378412639,0.024860972036643492,1,7,6,666,3.9474049093843604,4.705159471274118,0.8308767311797554,0.716606789241571,0.7323519418824158,0.8310648701181397,COMPLETE
8,-0.6052952264535474,2025-12-07 13:25:19.344164,2025-12-07 13:25:25.813921,0 days 00:00:06.469757,0.8195808889129353,1.5085492917877024,0.015659648651450066,6,3,4,272,3.20744229159661,3.5584821317894355,0.5496797669956446,0.6259401887154216,0.739365645033516,0.8184935335312814,COMPLETE
9,-0.6693292890784154,2025-12-07 13:25:19.356809,2025-12-07 13:25:25.777753,0 days 00:00:06.420944,0.7805603939783625,0.8627797052314792,0.03343499957491281,5,3,4,125,3.9384854940757448,1.976363275258957,1.0215409006817793,0.6939708212334699,0.7337427434660221,0.8433866351279693,COMPLETE
10,-0.7030976851323244,2025-12-07 13:25:19.389260,2025-12-07 13:25:27.551462,0 days 00:00:08.162202,0.7333278390034418,1.3933406729544435,0.08810623506395067,3,7,3,106,3.174205842781034,1.202872054138266,1.7421359369432698,0.8222421533040944,1.1522658011394304,0.89920256123168,COMPLETE
11,-0.6700253533271083,2025-12-07 13:25:19.417421,2025-12-07 13:25:25.424548,0 days 00:00:06.007127,0.7009133292577966,0.3977133132927744,0.052375518138951194,9,3,10,118,2.1350782785364943,2.269418615487572,1.2616061481351695,0.8939670377894264,1.2718492274124615,1.043861478320555,COMPLETE
12,-0.6815658452297425,2025-12-07 13:25:19.455635,2025-12-07 13:25:35.262521,0 days 00:00:15.806886,0.6958919568889452,1.1096647886290267,0.010383425189418276,3,5,4,303,2.710033109853824,2.7142343344474296,1.126363454547715,0.7236526826351521,1.1167394587676251,1.1342918685950438,COMPLETE
13,-0.7028779035339023,2025-12-07 13:25:19.485713,2025-12-07 13:25:54.111544,0 days 00:00:34.625831,0.8909677315276776,1.6030919456058637,0.017631567045106548,4,6,3,629,1.2604287424473388,0.9009410779563193,1.4539763028943866,0.7379247307151791,1.015911296368834,0.975667827785842,COMPLETE
14,-0.5920303075935555,2025-12-07 13:25:19.503938,2025-12-07 13:25:23.827455,0 days 00:00:04.323517,0.7016695512073334,1.0098907468076923,0.06989127581345564,9,6,10,635,1.0423096574504986,0.1925048937281515,0.6913883225008544,0.8994671719453002,0.7172461934683293,0.9729767004520035,COMPLETE
15,-0.6665991487871625,2025-12-07 13:25:19.528139,2025-12-07 13:25:28.826769,0 days 00:00:09.298630,0.6828071742388313,0.36129905167333787,0.017785768998455954,1,4,7,208,2.1132714573837728,1.3539669515802244,0.8157049596221877,0.7035812504155429,0.712591251924369,0.9044037235341642,COMPLETE
16,-0.6797559415948674,2025-12-07 13:25:19.572122,2025-12-07 13:25:27.102720,0 days 00:00:07.530598,0.76736297163982,0.23792406812722744,0.05825772044980008,1,4,1,458,1.668542090232934,3.3579726917843966,0.9630731263706475,0.744506521044397,1.0858983185928874,1.1624697786790597,COMPLETE
17,-0.6065465534160602,2025-12-07 13:25:19.577393,2025-12-07 13:25:24.241782,0 days 00:00:04.664389,0.7936621647164802,1.9239910067163688,0.02524420341390352,5,6,3,169,3.1346801348576676,4.322271205423054,1.160823551824187,0.6376274416521416,1.0941307724097373,0.8521483072576066,COMPLETE
