number,value,datetime_start,datetime_complete,duration,params_class_1_weight,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_threshold,state
0,-0.723937482791835,2025-12-07 14:17:01.335548,2025-12-07 14:18:35.467325,0 days 00:01:34.131777,3.4944754070359103,0.6234407252233148,1.699110999545841,0.014103807839041558,9,10,15,515,1.008659855719588,0.21811236075353901,4.506910122293663,0.8231728876040785,0.24843699559669571,COMPLETE
1,-0.7136760468008305,2025-12-07 14:17:01.347494,2025-12-07 14:17:38.818623,0 days 00:00:37.471129,2.7286833292125454,0.6339583865400655,1.7523130304443302,0.019904325823854607,10,4,20,431,4.84488971766961,2.836990319268344,3.7945590577918553,0.6695553310477219,0.2353088976422568,COMPLETE
2,-0.7181293211192867,2025-12-07 14:17:01.349816,2025-12-07 14:17:29.013756,0 days 00:00:27.663940,6.097607289355731,0.7924960107721171,1.5358625276811648,0.07267755323258826,9,7,18,410,2.588597427968413,2.3088886022759687,6.0303547205025,0.7516574895342645,0.25054581003879717,COMPLETE
3,-0.7240014508657051,2025-12-07 14:17:01.351557,2025-12-07 14:17:52.428571,0 days 00:00:51.077014,4.680820164663228,0.6635133998094346,0.8915799316186204,0.04041592395093207,9,5,14,560,2.2438336498195777,4.801986252545218,4.620629471153482,0.7296628573368554,0.39017487556729247,COMPLETE
4,-0.719331447938883,2025-12-07 14:17:01.353615,2025-12-07 14:18:15.837085,0 days 00:01:14.483470,7.997252805564158,0.8835246281704328,1.007672145959172,0.011735404049800236,10,9,5,445,3.997368702995099,3.409203564955832,4.812952874375461,0.8532818450373594,0.2985613174319595,COMPLETE
5,-0.711412624199816,2025-12-07 14:17:01.355500,2025-12-07 14:17:34.530373,0 days 00:00:33.174873,9.571667903590146,0.8924630805471192,1.6082204414534995,0.016911230487377544,6,5,16,339,3.651208125468406,4.8261428777870545,4.076633313911085,0.6465244211738309,0.3499413854507143,COMPLETE
6,-0.7086862809792277,2025-12-07 14:17:01.357980,2025-12-07 14:17:46.849893,0 days 00:00:45.491913,4.180448405432085,0.8058673974856232,1.6368809129142048,0.012330053272907806,10,7,18,379,1.4361302831240164,3.1560744510337333,11.219536305760776,0.6332875633146559,0.10941482470353076,COMPLETE
7,-0.7217363068147264,2025-12-07 14:17:01.360098,2025-12-07 14:17:57.792697,0 days 00:00:56.432599,5.663329865903282,0.8513568616919207,1.773800344832613,0.03991789010671017,5,5,6,715,3.2596653371932067,0.5922593321868913,3.53145533589188,0.6599855919380343,0.2963167842114134,COMPLETE
8,-0.7115453968139096,2025-12-07 14:17:01.362233,2025-12-07 14:17:42.418600,0 days 00:00:41.056367,8.308192566990837,0.6112876208639613,1.7953261984397029,0.04861338356440411,3,7,13,718,1.2547960431088812,0.9337469143210175,6.19432925878181,0.8094792825208497,0.1163151488360026,COMPLETE
9,-0.7161173603930778,2025-12-07 14:17:01.364572,2025-12-07 14:17:26.716669,0 days 00:00:25.352097,8.336688855461505,0.875822336959838,0.7691057901033493,0.06132981718325242,2,9,3,329,3.2945137635357096,3.3117393726508677,8.452583723452952,0.6204802593410057,0.27896906614896894,COMPLETE
